"PG.ProteinAccessions","PG.Genes","Veh.1","Veh.2","Veh.3","Veh.4","Veh.5","Veh.6","Veh.7","Veh.8","GDF15.1","GDF15.2","GDF15.3","GDF15.4","GDF15.5","GDF15.6","GDF15.7","CR.1","CR.2","CR.3","CR.4","CR.5","CR.6","CR.7","CR.8","CR.9","CR.10","CR.11","CR.12","CR.13","CR.14","CR.15","CR.16","Protein"
"A0A075B5J6;P01629","Gm20730;",,43579.19531,69851.10156,,129055.0234,,,,34689.78516,,,13062.13965,,,39116.5625,,,11770.86719,,59329.14063,,46772.77734,,53535.78906,149750.8906,,,133536.6094,9272.987305,63996.125,84887.8125,"GM20730"
"A0A075B5J7;A0A0G2JF45","Igkv14-130",,202255.9219,40073.51563,14930.81445,31155.44727,13946.71777,,17045.76172,9256.943359,19937.88281,14913.71484,25867.76172,18450.61914,10220.97656,13028.22266,13503.64355,29794.28906,55181.71094,30698.20703,51860.75781,24938.48828,49004.92969,21552.86914,43729.53125,18437.63281,66269.89063,16905.15234,46930.08203,84466.625,,19766.29297,"IGKV14-130"
"A0A075B5J9;A0A075B5K3;A0A0G2JDN5;A0A0G2JFA8","Igkv17-127;Igkv17-121;Igkv17-127;Igkv17-121",2529283.75,4671877.5,10290825,1774113.75,1710862.375,1084408,4638725.5,1558845.25,5346637,1490889.625,1403561.375,1867848.625,3000375,757140.6875,3964841,1125787.875,1830767.75,3019495,1167153,2970621,1699706.25,819228.625,1932177.375,1474651.25,1643447.25,1592574.125,2407669.5,1146659.125,1298007.75,1071629.25,1086885,"IGKV17-127;IGKV17-121"
"A0A075B5K0","Igkv14-126",127902.2969,126837.5703,159410.4688,82955.48438,91235.875,81376.875,72893.5625,46173.34766,449167.5313,80930.71875,251049.2813,87665.1875,270233.375,49238.14453,91400.29688,99394.74219,97576.41406,89680.67969,84318.20313,107992.3594,106334.9453,86246.36719,90111.97656,117635.1797,248490.8594,79822.875,237735.0469,106584.2891,97292.625,62829.10547,144408.3594,"IGKV14-126"
"A0A075B5K1;A0A0G2JEK4;P01652","Igkv11-125;Igkv11-125;",,,,,,5322.46582,16222.2334,,19769.2832,,,13595.54688,,,,,,,,,,,,10321.4668,,7940.599609,,,,,,"IGKV11-125"
"A0A075B5K2","Igkv9-124",147709.9219,243318.4375,110807.7734,131747.5313,158437.2813,162114.375,119878.9844,74654.48438,146056.5,185294.4375,147409.4375,135265.0938,171836.5156,94517.54688,69333.52344,153817.2344,98273.20313,213227.6875,85591.40625,215238.8281,154875.5,63521.37109,75834.14063,88558.42188,68551.17188,145047.0938,206439.8594,127012.4688,155825.875,55570.83984,129363.5547,"IGKV9-124"
"A0A075B5K5;P01627","Igkv2-112;Gm5153",14070.32813,9346.438477,5330.711914,7825.23877,224521.4219,9496.673828,82036.59375,198995.9688,19701.55859,5874.875977,21653.59766,12833.16992,18011.07617,8925.793945,111895.3047,9545.711914,11520.13672,6502.793457,18640.55664,2464055.25,79852.27344,11069.73438,,,,12863.31738,40032.69141,19520.44531,34084.08984,,16968.37695,"IGKV2-112;GM5153"
"A0A075B5K6;P03976","Igkv2-109;",200177.4375,186813.2969,702777,116933.8125,211205.8906,312789.5625,132422.6406,130881.2969,216945.6563,170932.6875,3414352.25,182268.8438,220626.2188,496583.3125,122870.9531,117726.6094,145261.6094,82239.35156,368208.2188,497012.5313,109670.9219,312296.8438,639107.4375,3540405.75,322351.3438,178195.8594,157333.3906,150667.3125,675088.125,167218.9688,262935.5625,"IGKV2-109"
"A0A075B5K7;A0A0G2JG36","Igkv14-100",190151.7344,64577.12109,116831.0781,44703.57813,50983.08203,38269.67969,83789.09375,16266.79297,39953.125,63498.64453,46359.77734,67781.17188,106893.25,14540.25391,60492.98438,89485.75,41434.46875,28466.17773,32084.75781,93562.25,31698.51367,58748.61719,13058.72754,27952.77148,243633.8594,30350.93945,41991.88281,24047.39453,28429.22852,40364.08203,23401.37891,"IGKV14-100"
"A0A075B5L1","Igkv10-94",340106.8125,217710.3438,219537.9219,66163.28125,78139.84375,111173.9453,288448.3438,,182459.25,145928.5625,,548387.25,124672.8906,292156.4063,,118242.9063,129710.3281,80298.53906,193709.4688,121868.7578,374762.9375,172605.9219,116951.8984,162892.5781,,229697.3281,142288.6563,338735.0313,76095.29688,,560561.75,"IGKV10-94"
"A0A075B5L4;A0A0G2JGW8","Igkv12-89",935900.0625,132189.9688,114151.7109,118935.9297,125017.3672,62065.5625,43274.75391,28819.25977,47613.57031,88810.29688,41529.91016,72857.8125,111578.0703,139613.3438,127554.1328,62959.17578,79159.9375,23408.36133,67392.9375,337283.8125,20561.75586,44531.29688,90472.03125,206210.0625,104644.2188,32276.96094,140493.3438,101035.125,40117.50781,41962.22656,225953.5156,"IGKV12-89"
"A0A075B5L7","Igkv4-80",179953.7656,115840.5,46878.43359,77227.625,96344.23438,68187.01563,45063.53516,52686.68359,67321.00781,75917.60938,146797.9844,160711.5156,55605.68359,76871.78125,57923.57422,99182.6875,231846.625,82744.65625,80013.44531,105095.4453,41344.36719,100144.3125,264319.0625,73177.14844,244715.8594,41687.78125,89237.02344,188872.0156,847151.625,39322.66406,108506.8047,"IGKV4-80"
"A0A075B5M1","Igkv4-63",84672.40625,316735.125,433099.7813,327257.3438,319774.375,232401.2656,150696.7813,152190.7344,595514.5625,116317.9141,295949.625,140026.7813,321019.5,70536.41406,462606.75,490301.9063,355801.75,299068.1875,109700.0078,569895,190021.9063,546826.9375,188936.375,932273.0625,131046.2734,455551.875,163412.7969,202206.8438,118593.0859,568466.8125,90564.33594,"IGKV4-63"
"A0A075B5M3","Igkv4-58",349345.0313,525614.125,520485.25,486450.2813,254933.1875,416934.9063,441073.2188,269927.625,351520.75,1679665.625,181898.4063,361995.5,291250.0625,141661.6406,296845,192633.2188,423429.6563,265702.0313,353412.2813,376994.5625,265365.8438,405224.0625,1364118.875,205727.7344,204105.5625,555934.375,189210.0781,189867.6406,717540.25,285516.875,658729.4375,"IGKV4-58"
"A0A075B5M4","Igkv4-57-1",17420.50586,46422.18359,15457.80664,36252.50781,,98666.27344,16219.08203,32792.61328,10708.95313,24953.94922,59186.04297,18169.08594,29908.57617,10995.17676,48865.96484,,12189.81738,,15762.96973,72950.64063,6725.312988,6367.371582,29163.77344,35888.67188,13811.46387,17534.26953,20165.21875,23575.01758,10757.16113,28384.41406,7605.245605,"IGKV4-57-1"
"A0A075B5M7","Igkv5-39",1858218.125,2757919.25,670082.8125,1983355.75,2229348.75,3058429.75,3572511.25,2202880.75,1991016.75,743464.0625,1366656.625,2492301.5,382654.5625,678624.125,2140556.25,4258807,2013276.625,3966587,2180228.25,546128.375,1170537,3234931.5,1790757,4294418.5,2679370.25,3204525.25,1755244.125,2052620.375,1055638.5,2709043.5,2509996,"IGKV5-39"
"A0A075B5M8;A0A0G2JEI7","Igkv12-38",19977.5918,52233.36328,,32101.2207,,17357.12305,40433.59766,870.6126709,79694.92969,24960.6582,,29013.59961,,,70262.61719,46563.87109,,,19706.54883,18544.17188,20027.91602,,208892.0156,,11904.33398,14750.62793,17524.73047,26442.48828,,18925.16602,,"IGKV12-38"
"A0A075B5N3","Igkv8-28",1558061.5,656069.875,1123090,1514595.875,1405046.375,1039033.188,951155.8125,2149762.25,384643.25,558164.3125,323607.25,846327.875,1644173.75,541853.125,953730.625,332769.4063,790432.625,601349.4375,620541.1875,63784884,611306.3125,431006.3438,594244.25,827648.6875,578282.1875,1372041,1461152.125,846187,1278342.625,321752.7813,2317086.5,"IGKV8-28"
"A0A075B5N4","Igkv8-27",334444.4063,604527.375,436168.1875,822634.8125,350147.9375,236008.7656,169589.6719,144374.8594,361289.0938,495871.5313,296550.1563,208840.4063,190946.875,104513.4141,299145.6875,509413.0313,185919.0938,1194528.875,153246.9844,328341.2188,241489.5313,159398.2188,129767.0156,129475.0391,243174.3125,198019.8125,119923.4766,400566.875,144110.3438,85439.67188,102447.3984,"IGKV8-27"
"A0A075B5N5","Igkv8-26",,,,,,,,,,,,,,,,,,,,23415.87695,,,,,,,,,,,,"IGKV8-26"
