TXNAME,SYMBOL
ENSMUST00000143664.1,Pzp
ENSMUST00000204291.1,Pzp
ENSMUST00000112132.7,Pzp
ENSMUST00000142978.1,Aanat
ENSMUST00000021160.9,Aanat
ENSMUST00000123507.1,Aanat
ENSMUST00000132601.1,Aanat
ENSMUST00000153476.7,Aanat
ENSMUST00000132575.7,Aatk
ENSMUST00000128836.1,Aatk
ENSMUST00000134319.1,Aatk
ENSMUST00000136386.7,Aatk
ENSMUST00000064307.9,Aatk
ENSMUST00000150730.7,Aatk
ENSMUST00000142959.1,Aatk
ENSMUST00000103020.7,Aatk
ENSMUST00000103019.1,Aatk
ENSMUST00000149127.1,Abca1
ENSMUST00000030010.3,Abca1
ENSMUST00000136358.2,Abca4
ENSMUST00000141135.4,Abca4
ENSMUST00000137616.2,Abca4
ENSMUST00000013995.12,Abca4
ENSMUST00000132199.7,Abca4
ENSMUST00000136624.1,Abca4
ENSMUST00000150738.2,Abca4
ENSMUST00000140913.7,Abca4
ENSMUST00000144949.1,Abca4
ENSMUST00000197728.1,Abca4
ENSMUST00000143075.1,Abca2
ENSMUST00000102919.3,Abca2
ENSMUST00000141065.1,Abca2
ENSMUST00000125520.7,Abca2
ENSMUST00000149385.7,Abca2
ENSMUST00000150550.1,Abca2
ENSMUST00000144560.1,Abca2
ENSMUST00000140333.1,Abcb7
ENSMUST00000033695.5,Abcb7
ENSMUST00000236427.1,Abcg1
ENSMUST00000139013.1,Abcg1
ENSMUST00000024829.7,Abcg1
ENSMUST00000236391.1,Abcg1
ENSMUST00000236241.1,Abcg1
ENSMUST00000149719.7,Abi1
ENSMUST00000126112.7,Abi1
ENSMUST00000140164.7,Abi1
ENSMUST00000139038.7,Abi1
ENSMUST00000123948.7,Abi1
ENSMUST00000153931.7,Abi1
ENSMUST00000091394.12,Abi1
ENSMUST00000178908.1,Abi1
ENSMUST00000135308.1,Abi1
ENSMUST00000148294.1,Abi1
ENSMUST00000156344.7,Abi1
ENSMUST00000154162.1,Abi1
ENSMUST00000114544.9,Abi1
ENSMUST00000078977.13,Abi1
ENSMUST00000093171.12,Abi1
ENSMUST00000146537.1,Abl1
ENSMUST00000123471.1,Abl1
ENSMUST00000156736.3,Abl1
ENSMUST00000075759.12,Abl1
ENSMUST00000142554.7,Abl1
ENSMUST00000124726.1,Abl1
ENSMUST00000124089.1,Abl1
ENSMUST00000127714.1,Abl1
ENSMUST00000135233.2,Abl1
ENSMUST00000028190.12,Abl1
ENSMUST00000190749.1,Abl2
ENSMUST00000173929.7,Abl2
ENSMUST00000027888.12,Abl2
ENSMUST00000166172.8,Abl2
ENSMUST00000085618.4,Scgb1b27
ENSMUST00000173387.1,Scgb1b27
ENSMUST00000027153.5,Acadl
ENSMUST00000139208.1,Acadl
ENSMUST00000135724.1,Acadm
ENSMUST00000130713.1,Acadm
ENSMUST00000196188.4,Acadm
ENSMUST00000156310.1,Acadm
ENSMUST00000199342.1,Acadm
ENSMUST00000072697.12,Acadm
ENSMUST00000196688.1,Acadm
ENSMUST00000150070.1,Acadm
ENSMUST00000137161.1,Acadm
ENSMUST00000200250.4,Acadm
ENSMUST00000018718.7,Acadvl
ENSMUST00000146129.1,Acadvl
ENSMUST00000134516.1,Acadvl
ENSMUST00000137187.7,Acadvl
ENSMUST00000145478.1,Acadvl
ENSMUST00000102574.9,Acadvl
ENSMUST00000156733.7,Acadvl
ENSMUST00000131726.7,Acads
ENSMUST00000141142.1,Acads
ENSMUST00000031524.10,Acads
ENSMUST00000153374.1,Acads
ENSMUST00000160883.1,Slc33a1
ENSMUST00000161659.7,Slc33a1
ENSMUST00000029402.14,Slc33a1
ENSMUST00000021045.12,Asic2
ENSMUST00000066197.6,Asic2
ENSMUST00000227670.1,Asic1
ENSMUST00000228185.1,Asic1
ENSMUST00000023758.8,Asic1
ENSMUST00000226291.1,Asic1
ENSMUST00000228012.1,Asic1
ENSMUST00000228610.1,Asic1
ENSMUST00000001963.13,Ace
ENSMUST00000132280.7,Ace
ENSMUST00000001964.7,Ace
ENSMUST00000151657.1,Ace
ENSMUST00000132191.7,Ache
ENSMUST00000138591.7,Ache
ENSMUST00000196208.4,Ache
ENSMUST00000125195.7,Ache
ENSMUST00000137126.1,Ache
ENSMUST00000024099.10,Ache
ENSMUST00000141123.7,Ache
ENSMUST00000085934.3,Ache
ENSMUST00000150983.1,Ache
ENSMUST00000003071.9,Apoc4
ENSMUST00000082108.11,Macf1
ENSMUST00000106220.8,Macf1
ENSMUST00000123765.7,Macf1
ENSMUST00000097897.10,Macf1
ENSMUST00000238731.1,Macf1
ENSMUST00000238555.1,Macf1
ENSMUST00000140596.1,Macf1
ENSMUST00000125447.2,Macf1
ENSMUST00000084301.11,Macf1
ENSMUST00000106224.7,Macf1
ENSMUST00000106213.7,Macf1
ENSMUST00000134458.7,Macf1
ENSMUST00000149022.7,Macf1
ENSMUST00000154824.7,Macf1
ENSMUST00000146000.1,Macf1
ENSMUST00000147228.7,Macf1
ENSMUST00000151346.7,Macf1
ENSMUST00000238866.1,Macf1
ENSMUST00000147030.1,Macf1
ENSMUST00000142360.1,Aco1
ENSMUST00000135787.1,Aco1
ENSMUST00000102973.3,Aco1
ENSMUST00000152911.1,Aco1
ENSMUST00000023116.6,Aco2
ENSMUST00000157003.7,Aco2
ENSMUST00000229068.1,Aco2
ENSMUST00000231091.1,Aco2
ENSMUST00000135198.1,Aco2
ENSMUST00000155704.1,Aco2
ENSMUST00000126352.7,Aco2
ENSMUST00000144324.1,Aco2
ENSMUST00000231075.1,Aco2
ENSMUST00000072948.10,Acox1
ENSMUST00000128793.1,Acox1
ENSMUST00000148601.1,Acox1
ENSMUST00000124684.1,Acox1
ENSMUST00000066587.11,Acox1
ENSMUST00000150549.7,Acox1
ENSMUST00000130229.7,Acox1
ENSMUST00000218615.1,Acp1
ENSMUST00000062740.14,Acp1
ENSMUST00000074038.6,Acp1
ENSMUST00000219697.1,Acp1
ENSMUST00000218696.1,Acp1
ENSMUST00000222791.1,Acp1
ENSMUST00000127643.1,Acp2
ENSMUST00000150403.7,Acp2
ENSMUST00000002172.13,Acp2
ENSMUST00000238832.1,Acp2
ENSMUST00000155418.1,Acp2
ENSMUST00000124131.1,Acp2
ENSMUST00000239169.1,Acp2
ENSMUST00000165735.8,Acp5
ENSMUST00000217643.1,Acp5
ENSMUST00000216684.1,Acp5
ENSMUST00000069330.13,Acp5
